instâncias;valorMédio;melhor;pior;desvioPadrão
A-n80-k10.vrp;4364;4275;4470;52,81
A-n34-k5.vrp;1623;1596;1669;25,10
A-n44-k7.vrp;2165;2080;2270;46,07
A-n32-k5.vrp;1747;1699;1826;36,41
A-n55-k9.vrp;2786;2728;2825;33,77
A-n54-k7.vrp;2739;2701;2780;26,36
A-n46-k7.vrp;2287;2264;2317;17,74
A-n53-k7.vrp;2720;2618;2823;68,15
A-n62-k8.vrp;3472;3320;3555;78,06
A-n33-k6.vrp;1407;1363;1435;27,04
A-n45-k6.vrp;2474;2429;2532;21,53
A-n36-k5.vrp;1767;1694;1855;46,29
A-n37-k6.vrp;1944;1898;1987;19,79
A-n69-k9.vrp;3437;3419;3480;22,26
A-n60-k9.vrp;3185;3122;3224;32,77
A-n38-k5.vrp;1751;1700;1794;35,73
A-n64-k9.vrp;3183;3125;3238;43,44
A-n63-k9.vrp;3759;3676;3816;45,14
A-n39-k6.vrp;1933;1910;1954;17,27
A-n45-k7.vrp;2223;2180;2277;32,48
A-n63-k10.vrp;3219;3121;3352;75,36
A-n65-k9.vrp;3526;3486;3561;22,39
A-n37-k5.vrp;1650;1608;1664;20,71
A-n48-k7.vrp;2441;2383;2517;46,74
A-n39-k5.vrp;1821;1795;1849;17,40
A-n33-k5.vrp;1428;1369;1478;37,66
A-n61-k9.vrp;2725;2659;2777;46,01
