instâncias;valorMédio;melhor;pior;desvioPadrão;tempo(ms)
A-n46-k7.vrp;2255;2216;2286;24,38;11673
A-n44-k7.vrp;2168;2098;2225;40,05;10841
A-n33-k5.vrp;1463;1436;1508;26,53;9901
A-n45-k7.vrp;2248;2163;2312;39,09;11057
A-n62-k8.vrp;3463;3410;3570;53,56;13138
A-n54-k7.vrp;2740;2616;2783;62,21;12321
A-n48-k7.vrp;2454;2402;2498;26,81;11562
A-n69-k9.vrp;3404;3313;3472;35,70;13800
A-n36-k5.vrp;1714;1609;1757;26,19;10362
A-n37-k5.vrp;1603;1565;1631;21,29;10515
A-n65-k9.vrp;3544;3422;3610;65,36;13140
A-n64-k9.vrp;3193;3128;3252;39,91;13233
A-n39-k6.vrp;1937;1881;2016;28,43;10645
A-n39-k5.vrp;1834;1763;1919;50,87;10983
A-n34-k5.vrp;1605;1562;1648;27,35;10244
A-n61-k9.vrp;2736;2701;2784;29,73;12880
A-n33-k6.vrp;1426;1377;1474;31,51;10072
A-n55-k9.vrp;2796;2748;2841;23,38;12202
A-n37-k6.vrp;1926;1885;1973;32,46;10397
A-n45-k6.vrp;2470;2389;2548;50,89;11126
A-n63-k9.vrp;3725;3681;3789;37,92;12998
A-n80-k10.vrp;4409;4259;4462;73,83;14982
A-n53-k7.vrp;2704;2562;2786;75,78;12082
A-n63-k10.vrp;3200;3156;3257;36,69;13007
A-n32-k5.vrp;1740;1713;1783;25,35;9947
A-n60-k9.vrp;3144;3083;3203;47,93;13283
A-n38-k5.vrp;1737;1692;1806;31,24;10342
