instâncias;valorMédio;melhor;pior;desvioPadrão;tempo(ms)
B-n50-k8.vrp;2373;2337;2419;27,63;13221
B-n67-k10.vrp;3116;3001;3210;72,89;14456
B-n45-k6.vrp;1522;1504;1544;12,94;11860
B-n57-k9.vrp;3150;3061;3198;47,82;13257
B-n41-k6.vrp;2180;2156;2230;15,53;11716
B-n34-k5.vrp;1640;1582;1690;40,36;10699
B-n39-k5.vrp;1734;1632;1808;57,05;11300
B-n64-k9.vrp;2877;2823;2917;31,36;13974
B-n51-k7.vrp;2964;2922;3062;48,45;12550
B-n44-k7.vrp;2153;2066;2260;66,35;11889
B-n68-k9.vrp;3296;3075;3442;119,30;14795
B-n66-k9.vrp;3232;3162;3324;44,88;14128
B-n78-k10.vrp;3956;3830;4052;75,94;15360
B-n43-k6.vrp;1674;1623;1720;33,53;11463
B-n50-k7.vrp;2365;2283;2423;45,85;12233
B-n45-k5.vrp;2241;2211;2290;27,72;11718
B-n57-k7.vrp;3386;3138;3535;139,07;12985
B-n56-k7.vrp;2518;2431;2597;40,18;12876
B-n38-k6.vrp;1765;1681;1827;38,56;10922
B-n31-k5.vrp;1104;1094;1123;6,15;10189
B-n52-k7.vrp;2436;2326;2509;61,12;12355
B-n35-k5.vrp;2113;1985;2286;120,88;10690
B-n63-k10.vrp;3552;3450;3641;57,76;13722
